case_id,activity,timestamp
1,j,2024-06-15 11:45:09
1,c,2024-06-15 11:45:10
1,g,2024-06-15 11:45:11
1,a,2024-06-15 11:45:12
1,h,2024-06-15 11:45:13
1,l,2024-06-15 11:45:14
2,m,2024-06-15 11:45:15
2,b,2024-06-15 11:45:16
2,d,2024-06-15 11:45:17
2,f,2024-06-15 11:45:18
2,k,2024-06-15 11:45:19
3,m,2024-06-15 11:45:20
3,d,2024-06-15 11:45:21
3,i,2024-06-15 11:45:22
3,b,2024-06-15 11:45:23
3,n,2024-06-15 11:45:24
3,d,2024-06-15 11:45:25
3,f,2024-06-15 11:45:26
3,k,2024-06-15 11:45:27
4,m,2024-06-15 11:45:28
4,d,2024-06-15 11:45:29
4,e,2024-06-15 11:45:30
4,b,2024-06-15 11:45:31
4,n,2024-06-15 11:45:32
4,d,2024-06-15 11:45:33
4,e,2024-06-15 11:45:34
4,n,2024-06-15 11:45:35
4,d,2024-06-15 11:45:36
4,i,2024-06-15 11:45:37
4,n,2024-06-15 11:45:38
4,d,2024-06-15 11:45:39
4,f,2024-06-15 11:45:40
4,k,2024-06-15 11:45:41
5,m,2024-06-15 11:45:42
5,b,2024-06-15 11:45:43
5,d,2024-06-15 11:45:44
5,e,2024-06-15 11:45:45
5,n,2024-06-15 11:45:46
5,d,2024-06-15 11:45:47
5,i,2024-06-15 11:45:48
5,n,2024-06-15 11:45:49
5,d,2024-06-15 11:45:50
5,f,2024-06-15 11:45:51
5,k,2024-06-15 11:45:52
6,m,2024-06-15 11:45:53
6,b,2024-06-15 11:45:54
6,d,2024-06-15 11:45:55
6,f,2024-06-15 11:45:56
6,k,2024-06-15 11:45:57
7,m,2024-06-15 11:45:58
7,d,2024-06-15 11:45:59
7,i,2024-06-15 11:46:00
7,b,2024-06-15 11:46:01
7,n,2024-06-15 11:46:02
7,d,2024-06-15 11:46:03
7,f,2024-06-15 11:46:04
7,k,2024-06-15 11:46:05
8,m,2024-06-15 11:46:06
8,d,2024-06-15 11:46:07
8,e,2024-06-15 11:46:08
8,b,2024-06-15 11:46:09
8,n,2024-06-15 11:46:10
8,d,2024-06-15 11:46:11
8,e,2024-06-15 11:46:12
8,n,2024-06-15 11:46:13
8,d,2024-06-15 11:46:14
8,i,2024-06-15 11:46:15
8,n,2024-06-15 11:46:16
8,d,2024-06-15 11:46:17
8,f,2024-06-15 11:46:18
8,k,2024-06-15 11:46:19
9,m,2024-06-15 11:46:20
9,b,2024-06-15 11:46:21
9,d,2024-06-15 11:46:22
9,e,2024-06-15 11:46:23
9,n,2024-06-15 11:46:24
9,d,2024-06-15 11:46:25
9,i,2024-06-15 11:46:26
9,n,2024-06-15 11:46:27
9,d,2024-06-15 11:46:28
9,f,2024-06-15 11:46:29
9,k,2024-06-15 11:46:30
10,m,2024-06-15 11:46:31
10,b,2024-06-15 11:46:32
10,d,2024-06-15 11:46:33
10,f,2024-06-15 11:46:34
10,k,2024-06-15 11:46:35
11,m,2024-06-15 11:46:36
11,d,2024-06-15 11:46:37
11,i,2024-06-15 11:46:38
11,b,2024-06-15 11:46:39
11,n,2024-06-15 11:46:40
11,d,2024-06-15 11:46:41
11,f,2024-06-15 11:46:42
11,k,2024-06-15 11:46:43
12,m,2024-06-15 11:46:44
12,d,2024-06-15 11:46:45
12,e,2024-06-15 11:46:46
12,b,2024-06-15 11:46:47
12,n,2024-06-15 11:46:48
12,d,2024-06-15 11:46:49
12,e,2024-06-15 11:46:50
12,n,2024-06-15 11:46:51
12,d,2024-06-15 11:46:52
12,i,2024-06-15 11:46:53
12,n,2024-06-15 11:46:54
12,d,2024-06-15 11:46:55
12,f,2024-06-15 11:46:56
12,k,2024-06-15 11:46:57
13,m,2024-06-15 11:46:58
13,b,2024-06-15 11:46:59
13,d,2024-06-15 11:47:00
13,e,2024-06-15 11:47:01
13,n,2024-06-15 11:47:02
13,d,2024-06-15 11:47:03
13,i,2024-06-15 11:47:04
13,n,2024-06-15 11:47:05
13,d,2024-06-15 11:47:06
13,f,2024-06-15 11:47:07
13,k,2024-06-15 11:47:08
14,m,2024-06-15 11:47:09
14,b,2024-06-15 11:47:10
14,d,2024-06-15 11:47:11
14,f,2024-06-15 11:47:12
14,k,2024-06-15 11:47:13
15,m,2024-06-15 11:47:14
15,d,2024-06-15 11:47:15
15,i,2024-06-15 11:47:16
15,b,2024-06-15 11:47:17
15,n,2024-06-15 11:47:18
15,d,2024-06-15 11:47:19
15,f,2024-06-15 11:47:20
